Engineering Strain,Engineering Stress (MPa),Lower Bound (MPa),Upper Bound (MPa)
0.004792345185185185,324.6899719977946,321.25741496298684,328.12252903260236
0.004874765925925926,326.5085492756866,322.84986948578165,330.1672290655916
0.004957186666666666,327.861369454845,324.17119148072527,331.5515474289647
0.005039607407407407,328.9031092527869,325.36544005237107,332.44077845320277
0.005122028148148148,330.0789930033262,326.4091282433192,333.74885776333326
0.005204448888888888,331.2886028989683,328.00877023012737,334.5684355678092
0.005286869629629629,332.49335682635825,329.53210611398885,335.45460753872766
0.00536929037037037,333.2087658498441,330.68526229798135,335.73226940170684
0.0054517111111111105,333.8024252822698,330.9616992316018,336.64315133293775
0.0055341318518518515,334.4491586882956,331.53156896998416,337.36674840660703
0.0056165525925925925,335.1420406887038,332.17508508893684,338.10899628847073
0.005698973333333333,335.80580821289874,332.6320224510688,338.9795939747287
0.005781394074074074,336.146460049938,333.0063644883092,339.2865556115668
0.005863814814814815,336.6111226963577,333.43805920451,339.7841861882054
0.005946235555555555,337.12416591990655,333.90445621063753,340.34387562917556
0.006028656296296296,337.4884506518805,334.1781616342468,340.7987396695142
0.006111077037037037,337.80078256716536,334.4234021099611,341.1781630243696
0.006193497777777777,338.16018866773226,334.8648885219427,341.4554888135218
0.006275918518518518,338.4918189883842,335.3279904250554,341.65564755171295
0.006358339259259258,338.7201164777467,335.6345062656308,341.80572668986264
0.006440759999999999,339.0100961192662,335.97817220424224,342.0420200342902
0.00652318074074074,339.2711705932854,336.2825859833353,342.25975520323544
0.0066056014814814806,339.57160392504153,336.6652101226143,342.47799772746873
0.006688022222222222,339.8647070843489,337.1129136281934,342.6165005405044
0.006770442962962963,340.03320478702636,337.35218160654273,342.71422796751
0.006852863703703703,340.1701908806375,337.5294684111033,342.8109133501717
0.006935284444444444,340.36059732013274,337.6883954995589,343.0327991407066
0.007017705185185185,340.8595761382355,337.7968156041535,343.92233667231756
0.007100125925925925,341.11174038254904,338.1148917798693,344.1085889852288
0.007182546666666666,341.3560238192562,338.49574728667415,344.2163003518383
0.007264967407407407,341.68073208585497,338.6210298241373,344.74043434757266
0.007347388148148147,341.8529740157843,338.71263465084706,344.99331338072153
0.007429808888888888,341.9569755394026,338.8393763542852,345.07457472452
0.007512229629629629,342.07761334157215,338.9824935544075,345.1727331287368
0.00759465037037037,342.2871713443818,339.1449399966658,345.4294026920978
0.007677071111111111,342.5015836188777,339.3615411649696,345.6416260727858
0.007759491851851851,342.69571645740484,339.570342291268,345.8210906235417
0.00784191259259259,342.8620240516236,339.72316587230705,346.0008822309402
0.007924333333333332,343.03050170833126,339.8450681768025,346.21593523986
0.008006754074074073,343.19897936503884,339.965977134482,346.4319815955957
0.008089174814814814,343.3397737247783,340.10659091942216,346.57295653013443
0.008171595555555553,343.48964532092197,340.26652082940683,346.7127698124371
0.008254016296296294,343.6348209069512,340.42111477501527,346.8485270388871
0.008336437037037035,343.7592807689687,340.54307760205995,346.9754839358775
0.008418857777777776,343.8858709615987,340.70292334973425,347.06881857346315
0.008501278518518517,343.9982507091034,340.8592838983829,347.1372175198239
0.008583699259259258,344.1407087519975,341.0375915992952,347.24382590469986
0.008666119999999998,344.35688815349476,341.2088942511995,347.50488205579
0.008748540740740739,344.459364957209,341.27880175263954,347.63992816177847
0.00883096148148148,344.5870308148839,341.34231479362046,347.8317468361474
0.00891338222222222,344.7386778807897,341.41336701422284,348.0639887473565
