strain,stress (MPa)
0.016616412489489488,307.98478854182855
0.01671871589249249,307.92774255719735
0.016821019295495492,307.9736949744914
0.016923322698498496,308.1531645546864
0.0170256261015015,308.22451691178264
0.0171279295045045,308.2753183023492
0.017230232907507505,308.31591323866564
0.01733253631051051,308.40432734800186
0.017434839713513513,308.51064295506916
0.017537143116516513,308.4824802628858
0.017639446519519517,308.57394815115754
0.01774174992252252,308.806125205339
0.017844053325525522,308.7872757984093
0.017946356728528526,308.9216307467362
0.01804866013153153,308.942392092385
0.018150963534534534,309.00188264240325
0.018253266937537534,309.0454306342868
0.01835557034054054,309.12784360784514
0.018457873743543542,309.1498564449988
0.018560177146546543,309.36900185838437
0.018662480549549547,309.3849348658251
0.01876478395255255,309.43348760016755
0.018867087355555555,309.39939070615037
0.018969390758558555,309.55068017118487
